"Year","mm"
1873,6935.46
1874,6963.4
1875,6945.62
1876,6925.3
1877,6955.78
1878,6938
1879,6925.3
1880,6943.08
1881,6917.68
1882,6940.54
1883,6958.32
1884,6962.13
1885,6925
1994,6983
1995,6988
1996,6999
1997,6952
1998,7017
1999,7006
2000,-99999
2001,7070
2002,7013
2003,7009
2004,7005
2005,7019
2006,7001
2007,7026
2008,7020
2009,7029
2010,7034
2011,7056
2012,7035
2013,7087
